+-----+--------+----+------------+--------------+-----------+---------------+-------------+----------+----------------+---------+
|WBAN |Date    |Time|SkyCondition|DryBulbCelsius|WeatherType|StationPressure|WindDirection|Visibility|RelativeHumidity|WindSpeed|
+-----+--------+----+------------+--------------+-----------+---------------+-------------+----------+----------------+---------+
|03011|20130601|0000|CLR         |5.0           |           |M              |000          |10.00     |M               | 0       |
|03011|20130601|0015|CLR         |5.0           |           |21.62          |000          |10.00     | 28             | 0       |
|03011|20130601|0035|CLR         |3.0           |           |21.62          |120          |10.00     | 33             | 5       |
|03011|20130601|0055|CLR         |4.0           |           |21.62          |130          |10.00     | 30             | 5       |
|03011|20130601|0115|CLR         |3.0           |           |21.62          |130          |10.00     | 33             | 5       |
|03011|20130601|0135|CLR         |3.0           |           |21.62          |110          |10.00     | 36             | 5       |
|03011|20130601|0155|CLR         |3.0           |           |21.62          |130          |10.00     | 33             | 6       |
|03011|20130601|0215|CLR         |3.0           |           |21.62          |000          |10.00     | 33             | 0       |
|03011|20130601|0235|CLR         |3.0           |           |21.62          |080          |10.00     | 33             | 3       |
|03011|20130601|0255|CLR         |3.0           |           |21.62          |000          |10.00     | 36             | 0       |
|03011|20130601|0315|CLR         |2.0           |           |21.62          |000          |10.00     | 37             | 0       |
|03011|20130601|0335|CLR         |2.0           |           |21.62          |080          |10.00     | 37             | 3       |
|03011|20130601|0355|CLR         |2.0           |           |21.62          |000          |10.00     | 37             | 0       |
|03011|20130601|0415|CLR         |1.0           |           |21.62          |000          |10.00     | 40             | 0       |
|03011|20130601|0435|CLR         |1.0           |           |21.63          |000          |10.00     | 44             | 0       |
|03011|20130601|0455|CLR         |1.0           |           |21.63          |110          |10.00     | 40             | 3       |
|03011|20130601|0515|CLR         |1.0           |           |21.63          |000          |10.00     | 44             | 0       |
|03011|20130601|0535|CLR         |1.0           |           |21.63          |080          |10.00     | 44             | 3       |
|03011|20130601|0555|CLR         |2.0           |           |21.64          |000          |10.00     | 40             | 0       |
|03011|20130601|0615|CLR         |2.0           |           |21.64          |000          |10.00     | 40             | 0       |
+-----+--------+----+------------+--------------+-----------+---------------+-------------+----------+----------------+---------+
